SIG,MRK,TRC,FREQ,PEAK AMPL,QPD AMPL,EAVG AMPL,PEAK LL1 DELTA,QPD LL4 DELTA,EAVG LL5 DELTA,COMPOSITE AMPCOR,RBW,RBW TYPE,TIMESTAMP,COMMENT,USE ANTENNA UNIT
1,False,1,30000000,16.19632693545,13.7008511664071,11.2725827337899,---,-31.2991488369531,-23.7274172695703,0,9000,CISPR,2018/11/27 20:57:05,,False
2,False,1,30200000,15.6361539007821,13.8624493719735,11.5505063177743,---,-31.1449580387941,-23.4569010929933,0,9000,CISPR,2018/11/27 20:57:08,,False
3,False,1,30500000,16.0270306708016,14.0344082953133,11.6835858465828,---,-30.9841102265654,-23.3349326752959,0,9000,CISPR,2018/11/27 20:57:10,,False
4,False,1,30900000,15.5684811712899,13.6307294012703,11.2673260809578,---,-31.4026039354232,-23.7660072557357,0,9000,CISPR,2018/11/27 20:57:12,,False
5,False,1,31100000,15.2301785589852,13.2491376043953,10.9551388861336,---,-31.7916031397056,-24.0856018579673,0,9000,CISPR,2018/11/27 20:57:15,,False
6,False,1,31300000,15.1032101751961,13.0721814276375,10.6025845648446,---,-31.9759667238708,-24.4455635866638,0,9000,CISPR,2018/11/27 20:57:17,,False
7,False,1,31600000,14.5356061102547,12.8012158514657,10.3956677557625,---,-32.2580434111538,-24.6635915068569,0,9000,CISPR,2018/11/27 20:57:19,,False
8,False,1,32000000,14.5302884222664,12.8582532049813,10.3978879095711,---,-32.215820872453,-24.6761861678631,0,9000,CISPR,2018/11/27 20:57:21,,False
9,False,1,32300000,14.4978940130868,12.79007693545,10.3887936712899,---,-32.2951082530953,-24.6963915172555,0,9000,CISPR,2018/11/27 20:57:24,,False
10,False,1,32700000,14.9530865790047,12.8751828314461,10.3054959417977,---,-32.2248171719141,-24.7945040615625,0,9000,CISPR,2018/11/27 20:57:26,,False
11,False,1,33200000,15.1595532538094,13.2922284247078,10.8492200018563,---,-31.8262900971709,-24.2692985200224,0,9000,CISPR,2018/11/27 20:57:28,,False
